date,currency,rate
2025-11-01,NZD,2.47
2025-11-01,USD,3.86
2025-12-01,AUD,3.71
2025-12-01,CAD,2.164
2025-12-01,CHF,-0.0482128571428571
2025-12-01,EUR,2.0457826087
2025-12-01,GBP,3.75
2025-12-01,JPY,1.07273
2025-12-01,NZD,2.49
2025-12-01,USD,3.74
2026-01-01,AUD,3.77
2026-01-01,CAD,2.19
2026-01-01,CHF,-0.0388865
2026-01-01,EUR,2.0277272727
2026-01-01,GBP,3.71
2026-01-01,JPY,1.11636
2026-01-01,NZD,2.5
2026-01-01,USD,3.63
2026-02-01,AUD,3.96
2026-02-01,CAD,2.1775
2026-02-01,CHF,-0.0435
2026-02-01,JPY,1.22909
2026-02-01,NZD,2.49
2026-02-01,USD,3.66
2026-03-01,AUD,4.19
2026-03-01,CAD,2.23
2026-03-01,CHF,-0.0411959090909091
2026-03-01,JPY,1.26882
2026-03-01,NZD,2.51
2026-03-01,USD,3.69
2026-04-01,AUD,4.34
2026-04-01,CAD,2.272
2026-04-01,CHF,-0.0398335
2026-04-01,JPY,1.24182
2026-04-01,NZD,2.56
2026-04-01,USD,3.77
2026-05-01,AUD,4.43
2026-05-01,CAD,2.2925
2026-05-01,CHF,-0.038125
2026-05-01,NZD,2.63
2026-05-01,USD,3.72
